description,fdcId,dataType,publishedDate,brands,categories,code
"Pasta with vegetables, no sauce or dressing",2708827,Survey (FNDDS),2024-10-31,,,
Fruit dressing,2710214,Survey (FNDDS),2024-10-31,,,
Alfredo sauce with added vegetables,2705810,Survey (FNDDS),2024-10-31,,,
"Baby Toddler puffs, vegetable",2708192,Survey (FNDDS),2024-10-31,,,
"Baby Toddler vegetable, NFS",2710117,Survey (FNDDS),2024-10-31,,,
Baby Toddler vegetables and meat,2710130,Survey (FNDDS),2024-10-31,,,
"Baby Toddler vegetables, with grain",2710129,Survey (FNDDS),2024-10-31,,,
"Babyfood, dinner, beef with vegetables",172261,SR Legacy,2019-04-01,,,
"Babyfood, dinner, pasta with vegetables",172266,SR Legacy,2019-04-01,,,
"Babyfood, vegetables, beets, strained",173505,SR Legacy,2019-04-01,,,
"Babyfood, vegetables, carrots, junior",173507,SR Legacy,2019-04-01,,,
"Babyfood, vegetables, carrots, strained",173506,SR Legacy,2019-04-01,,,
"Babyfood, vegetables, peas, strained",170939,SR Legacy,2019-04-01,,,
"Babyfood, vegetables, squash, junior",172275,SR Legacy,2019-04-01,,,
"Babyfood, vegetables, squash, strained",172274,SR Legacy,2019-04-01,,,
"Beef and vegetables, Hawaiian style",2706746,Survey (FNDDS),2024-10-31,,,
"Cheese sauce, for use with vegetables",2710244,Survey (FNDDS),2024-10-31,,,
"Cream sauce, for use with vegetables",2710243,Survey (FNDDS),2024-10-31,,,
"Fish, tofu, and vegetables, tempura",2706844,Survey (FNDDS),2024-10-31,,,
"Lasagna, Vegetable, frozen, baked",172106,SR Legacy,2019-04-01,,,
"Macaroni, vegetable, enriched, cooked",168904,SR Legacy,2019-04-01,,,
"Macaroni, vegetable, enriched, dry",168903,SR Legacy,2019-04-01,,,
"Oil, vegetable, soybean, refined",172370,SR Legacy,2019-04-01,,,
Other vegetables as ingredient in omelet,2710808,Survey (FNDDS),2024-10-31,,,
"Pork and vegetables, Hawaiian style",2706761,Survey (FNDDS),2024-10-31,,,
"Potato, home fries, with vegetables",2709476,Survey (FNDDS),2024-10-31,,,
"Quesadilla, beef or pork, with vegetables",2708595,Survey (FNDDS),2024-10-31,,,
"Restaurant, Chinese, beef and vegetables",168072,SR Legacy,2019-04-01,,,
"Restaurant, Chinese, chicken and vegetables",167678,SR Legacy,2019-04-01,,,
"Restaurant, Chinese, shrimp and vegetables",168080,SR Legacy,2019-04-01,,,
"Salsify, (vegetable oyster), raw",169277,SR Legacy,2019-04-01,,,
"Shortening, NS as to vegetable or animal",2710167,Survey (FNDDS),2024-10-31,,,
"Shortening, vegetable, household, composite",173584,SR Legacy,2019-04-01,,,
"Soup, SWANSON, vegetable broth",171180,SR Legacy,2019-04-01,,,
"Textured vegetable protein, dry",2707451,Survey (FNDDS),2024-10-31,,,
"Toddler meal, meat and vegetables",2710134,Survey (FNDDS),2024-10-31,,,
"Toddler meal, pasta and vegetables",2710137,Survey (FNDDS),2024-10-31,,,
"Toddler meal, rice and vegetables",2710135,Survey (FNDDS),2024-10-31,,,
"Tomato sauce, for use with vegetables",2710247,Survey (FNDDS),2024-10-31,,,
"Vegetable dip, yogurt based",2705449,Survey (FNDDS),2024-10-31,,,
"Vegetable juice cocktail, canned",170063,SR Legacy,2019-04-01,,,
"Vegetable oil, palm kernel",171422,SR Legacy,2019-04-01,,,
"Vegetable sandwich on wheat, with cheese",2709135,Survey (FNDDS),2024-10-31,,,
"Vegetable sandwich on white, with cheese",2709133,Survey (FNDDS),2024-10-31,,,
"Vegetables, mixed, frozen, unprepared",170471,SR Legacy,2019-04-01,,,
Biscuit with fruit,2707807,Survey (FNDDS),2024-10-31,,,
"Bread, fruit",2707850,Survey (FNDDS),2024-10-31,,,
Candied fruit,167781,SR Legacy,2019-04-01,,,
"Cheesecake, fruit",2707862,Survey (FNDDS),2024-10-31,,,
"Coleslaw, with fruit",2709817,Survey (FNDDS),2024-10-31,,,
"Croissant, fruit",2707681,Survey (FNDDS),2024-10-31,,,
Dragon fruit,2709234,Survey (FNDDS),2024-10-31,,,
"Empanada, fruit",2708057,Survey (FNDDS),2024-10-31,,,
"Fritter, fruit",2708025,Survey (FNDDS),2024-10-31,,,
Fruit butter,2710302,Survey (FNDDS),2024-10-31,,,
Fruit syrup,167953,SR Legacy,2019-04-01,,,
"Fruit, NFS",2709213,Survey (FNDDS),2024-10-31,,,
"Fruit, pickled",2709214,Survey (FNDDS),2024-10-31,,,
"Muffin, fruit",2707830,Survey (FNDDS),2024-10-31,,,
"Pancakes, fruit",2708306,Survey (FNDDS),2024-10-31,,,
"Scone, with fruit",2707809,Survey (FNDDS),2024-10-31,,,
"Soup, fruit",2709311,Survey (FNDDS),2024-10-31,,,
"Turnover, fruit",2708046,Survey (FNDDS),2024-10-31,,,
"Waffle, fruit",2708326,Survey (FNDDS),2024-10-31,,,
"Fruit punch, made with fruit juice and soda",2710569,Survey (FNDDS),2024-10-31,,,
